PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Lincoln Square East,1063368,23560942.53,2329236.84,10.516666666666667,28.933333333333334,9.680382431806914,1.386599935299915,2913.33698630137
Lincoln Square West,360784,7791551.72,794054.15,10.35,28.066666666666666,9.75292976338188,1.3228385959466051,988.4493150684932
Little Italy/NoLiTa,279631,7042959.36,742879.21,13.583333333333334,34.983333333333334,9.278325919018183,1.463425013678741,766.1123287671232
Long Island City/Hunters Point,13469,564802.42,63897.71,16.216666666666665,47.59333333333331,12.32496918757703,1.3345459945059024,36.9013698630137
Long Island City/Queens Plaza,15430,376503.36,51220.56,13.233333333333333,39.38333333333333,11.20537964380425,1.2352559948152948,42.273972602739725
Longwood,646,20013.73,3663.97,27.65833333333333,71.25833333333333,8.875732521552084,1.105263157894737,1.7698630136986302
Lower East Side,314433,8156481.06,969535.7,12.966666666666667,32.3,10.645839834584816,1.454964968689673,861.4602739726027
Madison,719,27131.32,5906.39,36.13333333333333,89.48000000000002,10.532328637430343,1.0347705146036161,1.9698630136986301
Manhattan Beach,345,16932.34,3589.77,40.13333333333333,98.66000000000001,13.179172468200044,1.1333333333333333,0.9452054794520548
Manhattan Valley,272875,5885275.56,667207.18,10.5,30.216666666666665,10.207418054349937,1.3229317453046268,747.6027397260274
Manhattanville,20622,472042.39,66710.95,12.0,34.416666666666664,11.167900492374205,1.2839200853457473,56.4986301369863
Marble Hill,296,10066.97,2129.79,25.275,66.5625,12.753159486148078,1.1081081081081081,0.810958904109589
Marine Park/Floyd Bennett Field,326,15171.32,2531.19,13.716666666666665,60.36666666666667,21.79718251784406,1.2852760736196318,0.8931506849315068
Marine Park/Mill Basin,1132,45095.659999999996,8978.73,33.16666666666667,90.4216666666667,10.791876238887479,1.0777385159010602,3.1013698630136988
Mariners Harbor,13,1235.43,178.58,32.516666666666666,206.41666666666615,27.11038955953996,1.0769230769230769,0.03561643835616438
Maspeth,2354,116307.18,14535.31,19.508333333333333,48.0725,17.12170602905585,1.3313508920985557,6.449315068493151
