PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Sutton Place/Turtle Bay North,619279,13529385.1,1276945.5,10.966666666666667,27.75,8.791364529046106,1.3328015321042697,1696.654794520548
Times Sq/Theatre District,1024125,27847700.58,3031013.15,13.016666666666667,39.15,8.499929167256939,1.5046639814475773,2805.821917808219
TriBeCa/Civic Center,428864,11684026.92,1355461.17,14.0,36.833333333333336,10.222176790325376,1.3804959147888376,1174.9698630136986
Two Bridges/Seward Park,37042,1040900.92,136473.38,15.15,37.84916666666662,11.036767414381247,1.4269477889962745,101.48493150684932
UN/Turtle Bay South,399374,9831743.99,1016019.54,12.083333333333334,32.416666666666664,8.934259615569903,1.353185234892607,1094.1753424657534
Union Sq,860238,19686872.58,1792638.41,11.716666666666667,31.466666666666665,8.397504602400469,1.3651198854270563,2356.8164383561643
University Heights/Morris Heights,2018,82804.06,18839.66,33.358333333333334,78.06999999999998,12.208410048762893,1.0346878097125867,5.528767123287671
Upper East Side North,1394391,29758799.74,2742510.88,9.933333333333334,29.066666666666666,8.999913830612261,1.3426965607207735,3820.249315068493
Upper East Side South,1548602,32065543.21,2736715.81,9.75,27.816666666666666,8.316428062503565,1.3389812230644156,4242.745205479452
Upper West Side North,645111,14109695.18,1481401.2,10.2,29.5,10.077789999934133,1.3266306108561163,1767.427397260274
Upper West Side South,916170,20475809.31,2048308.93,10.233333333333333,29.616666666666667,9.78200646890774,1.3844755885916369,2510.054794520548
Van Cortlandt Park,104,4505.98,848.68,26.366666666666667,59.14583333333331,16.34838616502985,1.1153846153846154,0.28493150684931506
Van Cortlandt Village,1232,44279.0,8720.06,28.791666666666668,77.06666666666669,11.526653726559953,1.0535714285714286,3.3753424657534246
Van Nest/Morris Park,2073,62496.57,11025.91,26.283333333333335,67.38333333333334,8.694496540347556,1.0593342981186686,5.67945205479452
Washington Heights North,4608,151996.18,28968.75,19.025,51.03249999999998,15.095791783356514,1.265625,12.624657534246575
Washington Heights South,19984,588798.1,99345.9,16.2,47.12833333333329,13.243851194799525,1.268464771817454,54.75068493150685
West Brighton,9,449.95,89.13999999999999,21.266666666666666,41.459999999999994,21.075175649974657,1.2222222222222223,0.024657534246575342
West Chelsea/Hudson Yards,539986,13389053.68,1299019.01,13.966666666666667,32.06666666666667,8.858279902764744,1.4426133270121817,1479.4136986301369
West Concourse,3211,98965.79,16969.66,21.766666666666666,60.425,10.909071714243318,1.2366863905325445,8.797260273972602
West Farms/Bronx River,859,27990.95,5570.11,26.216666666666665,74.96999999999996,10.63122009969347,1.0407450523864958,2.3534246575342466
West Village,692739,16454200.27,1635522.53,11.816666666666666,31.416666666666668,9.393396425919217,1.3958648206611726,1897.9150684931508
Westchester Village/Unionport,905,29265.21,5563.2,28.616666666666667,74.77666666666664,10.31800661765849,1.1116022099447513,2.4794520547945207
Westerleigh,16,1624.9,268.89,27.55,431.74583333333334,27.460946483610165,1.375,0.043835616438356165
Whitestone,359,16051.89,2891.82,26.183333333333334,64.63499999999999,16.157434514358858,1.0724233983286908,0.9835616438356164
Willets Point,93,5738.27,997.94,24.8,61.22333333333332,23.123543542598778,1.3763440860215055,0.2547945205479452
Williamsbridge/Olinville,1962,73899.72,15704.21,33.13333333333333,79.04249999999998,11.468713577097322,1.018348623853211,5.375342465753425
Williamsburg (North Side),13900,395527.97,62679.78,19.191666666666666,41.40166666666664,12.23582757231583,1.2746762589928058,38.082191780821915
Williamsburg (South Side),10752,313119.01,49094.23,18.191666666666666,44.25583333333328,11.831314231999936,1.2932477678571428,29.457534246575342
Windsor Terrace,686,25724.61,4673.63,24.775,67.70833333333333,12.544299672055839,1.163265306122449,1.8794520547945206
Woodhaven,1001,35010.76,6241.73,26.433333333333334,71.65,11.661676182857336,1.072927072927073,2.7424657534246575
Woodlawn/Wakefield,935,39649.42,9029.77,33.8,87.12666666666667,14.563064379424137,1.0663101604278076,2.5616438356164384
Woodside,5928,204183.07,26154.77,15.433333333333334,49.465833333333315,11.727734918483897,1.3115721997300944,16.24109589041096
World Trade Center,168404,5503390.49,711290.85,18.283333333333335,43.55,10.522165673874113,1.5482886392247215,461.3808219178082
Yorkville East,446549,9944026.15,1086184.16,10.266666666666667,27.116666666666667,10.194625308582106,1.305133367222858,1223.4219178082192
Yorkville West,613888,13204958.09,1393058.02,9.383333333333333,27.816666666666666,10.499931522185726,1.3310766784820685,1681.8849315068494
