DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Lincoln Square West,464770,10628440.85,1055303.59,11.516666666666667,30.566666666666666,9.051038682096218,1.3461475568560795,1273.3424657534247
Little Italy/NoLiTa,290122,7517879.14,789915.37,14.916666666666666,35.4,8.28816228182172,1.4739695714216778,794.8547945205479
Long Island City/Hunters Point,67436,2626095.67,381964.9,18.866666666666667,46.670833333333334,13.20178645193333,1.3466397769737233,184.75616438356164
Long Island City/Queens Plaza,23802,864243.25,133150.55,19.55,48.78333333333333,13.008288726899321,1.3422821611629274,65.21095890410959
Longwood,2290,102528.72,19263.48,25.941666666666666,59.00833333333329,16.009022651691158,1.3305676855895197,6.273972602739726
Lower East Side,296699,8016318.24,909306.58,14.55,36.55,8.687228499978188,1.4598465111105867,812.8739726027397
Madison,3999,257068.88999999998,53184.19,34.2,67.00166666666667,23.7536238939169,1.3425856464116028,10.956164383561644
Manhattan Beach,2129,144560.83,31370.85,32.083333333333336,67.95333333333332,27.950253743131864,1.3790511977454203,5.832876712328767
Manhattan Valley,282898,6708974.83,794089.71,10.483333333333333,33.31666666666667,11.174646415005402,1.3530671832250494,775.0630136986301
Manhattanville,43196,1236262.26,181930.94,14.616666666666667,38.32083333333334,12.816788649304964,1.3160246319103621,118.34520547945205
Marble Hill,1114,65050.15,12951.45,29.950000000000003,63.892499999999984,21.644447438536563,1.3114901256732496,3.052054794520548
Marine Park/Floyd Bennett Field,1199,65524.81,14530.05,19.233333333333334,55.411666666666655,35.38886762412083,1.4111759799833195,3.2849315068493152
Marine Park/Mill Basin,5777,345006.35,72543.43,29.3,67.58666666666663,25.8614819878526,1.3714730829150077,15.827397260273973
Mariners Harbor,403,45056.61,9100.5,40.46666666666667,80.04666666666664,32.45752940033648,1.2034739454094292,1.104109589041096
Maspeth,8183,373963.81,65781.36,24.616666666666667,47.05,17.739084158910888,1.3949651716974214,22.41917808219178
Meatpacking/West Village West,309768,7370513.6,761118.52,11.85,31.466666666666665,9.224140201237145,1.4056745693551302,848.6794520547945
Melrose South,6914,264832.5,46960.06,23.325,54.416666666666664,13.922902687795808,1.265258894995661,18.942465753424656
Middle Village,8095,396226.72,69777.9,27.25,47.03333333333333,18.57452257617784,1.3524397776405188,22.17808219178082
Midtown Center,1270419,28680015.65,2486277.06,12.116666666666667,31.133333333333333,7.231384207460377,1.3778099981187308,3480.6
Midtown East,910259,20545183.36,1891253.68,11.333333333333334,29.85,7.95630471664805,1.352263476658841,2493.860273972603
Midtown North,790922,18527683.06,1732026.49,11.916666666666666,35.38333333333333,7.6136584239971565,1.3996462356591421,2166.909589041096
Midtown South,650738,15928998.959999999,1561701.53,12.066666666666666,35.21666666666667,7.60130512719855,1.4424299795001982,1782.8438356164384
Midwood,6868,446651.83,87877.33,36.78333333333333,63.965833333333315,21.028705798132236,1.3193069306930694,18.816438356164383
Morningside Heights,223995,5745953.69,748015.52,12.083333333333334,36.483333333333334,11.685808810324978,1.3413870845331368,613.6849315068494
Morrisania/Melrose,3875,183398.47,35115.51,29.466666666666665,64.77499999999998,14.399973070180232,1.272,10.616438356164384
Mott Haven/Port Morris,15795,585655.42,99818.63,20.033333333333335,48.85,15.380633528542713,1.3212408990186768,43.273972602739725
Mount Hope,4179,208009.23,41131.71,29.783333333333335,69.40166666666667,17.023868894334548,1.2706389088298635,11.449315068493151
Murray Hill,926600,20848207.11,1916970.4,11.15,29.333333333333332,8.048721594720039,1.3600723073602417,2538.6301369863013
Murray Hill-Queens,3557,204037.83,40647.82,30.2,55.57999999999999,22.729331543535732,1.3561990441383187,9.745205479452055
New Dorp/Midland Beach,295,31983.26,6514.02,47.5,74.15666666666671,28.068754689796524,1.4,0.8082191780821918
Newark Airport,106836,13533251.47,1947795.3,38.61666666666667,72.2,28.223938725428393,1.6293945860945749,292.7013698630137
North Corona,4537,203461.11,37299.59,27.816666666666666,50.60666666666665,16.78230077483535,1.435970905884946,12.43013698630137
Norwood,3657,211331.28,43341.92,32.56666666666667,73.44,19.985178399545465,1.224774405250205,10.01917808219178
Oakland Gardens,2555,150908.2,30989.28,26.516666666666666,56.29666666666664,27.449360552049942,1.3788649706457925,7.0
Oakwood,232,27187.7,5267.93,47.45833333333333,73.73583333333333,27.79748847665519,1.4655172413793103,0.6356164383561644
Ocean Hill,7052,325845.3,59765.43,30.65,63.50249999999998,15.872421433706656,1.2834656834940443,19.32054794520548
Ocean Parkway South,2359,161041.99,32499.36,36.75,65.60833333333332,21.766558958908146,1.367528613819415,6.463013698630137
Old Astoria,26270,1052484.72,169835.57,23.083333333333332,43.31666666666667,13.958163269063334,1.3175104682146936,71.97260273972603
Outside of NYC,99734,11434139.77,1763552.27,35.13333333333333,87.63333333333334,26.25130987937331,1.5135360057753624,273.24383561643833
Ozone Park,3531,133113.61,24890.7,15.733333333333333,55.61666666666667,22.697129771247834,1.4231096006796942,9.673972602739726
Park Slope,71960,4068462.44,673019.6,32.68333333333333,60.2,14.532543434214215,1.3404113396331294,197.15068493150685
Parkchester,3133,180561.87,36318.72,31.95,65.03333333333333,21.27956252614476,1.2527928503032237,8.583561643835617
Pelham Bay,1115,72148.91,14628.89,33.81666666666667,65.57666666666665,23.318368361373434,1.3004484304932735,3.0547945205479454
Pelham Bay Park,274,17111.32,3604.3,33.68333333333334,73.8575,23.82929691624762,1.2445255474452555,0.7506849315068493
Pelham Parkway,3095,191387.95,38265.73,34.06666666666667,63.205,21.56350017099419,1.2510500807754443,8.479452054794521
Penn Station/Madison Sq West,699154,15754187.23,1384927.64,11.95,30.7,7.595798893200571,1.3999047420167803,1915.490410958904
Port Richmond,174,19069.17,3888.35,42.425,85.205,32.472081223705814,1.3908045977011494,0.4767123287671233
Prospect Heights,24205,1256375.38,202635.14,32.766666666666666,57.63333333333333,13.943629835424193,1.3288989878124355,66.31506849315069
Prospect Park,4100,203827.6,32165.3,32.38333333333333,58.20166666666666,13.234751061284946,1.387560975609756,11.232876712328768
Prospect-Lefferts Gardens,21605,1154733.88,202870.58,35.81666666666667,60.313333333333325,14.980965808417018,1.2823420504512844,59.19178082191781
Queens Village,6482,306613.65,65551.2,24.4,67.01499999999999,23.01620983990577,1.2938907744523296,17.75890410958904
Queensboro Hill,2519,123586.1,23608.56,25.366666666666667,51.54833333333332,22.287967539244185,1.293370385073442,6.901369863013699
Queensbridge/Ravenswood,10567,341561.03,52793.03,19.066666666666666,52.82833333333332,11.999945038419673,1.3089807892495504,28.95068493150685
Randalls Island,4146,182967.53,24868.68,18.733333333333334,47.0125,16.963085495552228,1.4310178485287024,11.35890410958904
Red Hook,11512,609953.64,100431.2,29.433333333333334,61.03166666666663,15.097799185924156,1.4557852675469076,31.53972602739726
Rego Park,9227,428732.62,76108.73,26.6,49.50666666666663,18.48296568951909,1.333694591958383,25.279452054794522
Richmond Hill,10830,442399.82,83737.01,22.09166666666667,56.934999999999974,19.119221463406415,1.3323176361957525,29.671232876712327
Ridgewood,14221,698323.91,120530.44,29.416666666666668,48.333333333333336,16.865771661001453,1.3288798256100134,38.961643835616435
Riverdale/North Riverdale/Fieldston,8759,631879.79,120743.62,29.783333333333335,66.52166666666669,25.940221073966942,1.3283479849297866,23.997260273972604
Rockaway Park,2897,211428.85,43397.35,31.816666666666666,66.7333333333333,26.127825144769968,1.332067656196065,7.936986301369863
Roosevelt Island,16143,682847.32,107227.68,24.233333333333334,51.315,13.330456297339966,1.4004212352103078,44.227397260273975
Rosedale,5864,206774.37,41709.74,14.6,60.7758333333333,24.998297820972397,1.3100272851296044,16.065753424657533
Rossville/Woodrow,126,17741.8,3692.31,55.125,88.7125,33.361894705341726,1.3253968253968254,0.3452054794520548
Saint Albans,9263,323409.12,61181.32,18.65,64.98499999999994,18.359286666577134,1.2801468206844435,25.378082191780823
