QuyTacQA,SoLuongViPham,Month
FLAG_FIXED_TOTAL_AMOUNT,753665,2023-09
FLAG_INVALID_EXTRA,457093,2023-09
FLAG_FIXED_MISSINGS_RatecodeID,140225,2023-09
FLAG_FIXED_MISSINGS_PASSENGER,140225,2023-09
FLAG_DISTANCE_ZERO_OR_NEG,98547,2023-09
FLAG_FIXED_PAYMENT_TYPE,64479,2023-09
FLAG_INVALID_IMPROVEMENT_SURCHANGE,31850,2023-09
FLAG_FARE_AMOUNT_INVALID,31137,2023-09
FLAG_DURATION_TOO_SHORT,29563,2023-09
FLAG_INVALID_MTA_TAX,28415,2023-09
FLAG_INVALID_CONGESTION_IMPROVEMENT,23219,2023-09
FLAG_SPEED_TOO_HIGH,4929,2023-09
FLAG_INVALID_AIRPORT_FEE,4571,2023-09
FLAG_NEGATIVE_TOLLS_AMOUNT,2111,2023-09
FLAG_FIXED_TIME_SWAPPED,146,2023-09
FLAG_NEGATIVE_TIP_AMOUNT,104,2023-09
FLAG_DISTANCE_EXTREME,94,2023-09
FLAG_DURATION_TOO_LONG,16,2023-09
FLAG_FIXED_TOTAL_AMOUNT,915705,2023-10
FLAG_INVALID_EXTRA,564117,2023-10
FLAG_FIXED_MISSINGS_RatecodeID,154929,2023-10
FLAG_FIXED_MISSINGS_PASSENGER,154929,2023-10
FLAG_DISTANCE_ZERO_OR_NEG,121686,2023-10
FLAG_FIXED_PAYMENT_TYPE,68707,2023-10
FLAG_INVALID_IMPROVEMENT_SURCHANGE,39418,2023-10
FLAG_FARE_AMOUNT_INVALID,38921,2023-10
FLAG_INVALID_MTA_TAX,35848,2023-10
FLAG_DURATION_TOO_SHORT,34539,2023-10
FLAG_INVALID_CONGESTION_IMPROVEMENT,30291,2023-10
FLAG_SPEED_TOO_HIGH,5312,2023-10
FLAG_INVALID_AIRPORT_FEE,4999,2023-10
FLAG_NEGATIVE_TOLLS_AMOUNT,2532,2023-10
FLAG_NEGATIVE_TIP_AMOUNT,130,2023-10
FLAG_FIXED_TIME_SWAPPED,85,2023-10
FLAG_DISTANCE_EXTREME,68,2023-10
FLAG_DURATION_TOO_LONG,20,2023-10
FLAG_FIXED_TOTAL_AMOUNT,857192,2023-11
FLAG_INVALID_EXTRA,530582,2023-11
FLAG_FIXED_MISSINGS_RatecodeID,132675,2023-11
FLAG_FIXED_MISSINGS_PASSENGER,132675,2023-11
FLAG_DISTANCE_ZERO_OR_NEG,102583,2023-11
FLAG_FIXED_PAYMENT_TYPE,61689,2023-11
FLAG_INVALID_IMPROVEMENT_SURCHANGE,38978,2023-11
FLAG_FARE_AMOUNT_INVALID,38735,2023-11
FLAG_INVALID_MTA_TAX,35606,2023-11
FLAG_DURATION_TOO_SHORT,33923,2023-11
FLAG_INVALID_CONGESTION_IMPROVEMENT,30211,2023-11
FLAG_SPEED_TOO_HIGH,5761,2023-11
FLAG_INVALID_AIRPORT_FEE,4803,2023-11
FLAG_NEGATIVE_TOLLS_AMOUNT,2336,2023-11
FLAG_FIXED_TIME_SWAPPED,885,2023-11
FLAG_NEGATIVE_TIP_AMOUNT,116,2023-11
FLAG_DISTANCE_EXTREME,43,2023-11
FLAG_DURATION_TOO_LONG,14,2023-11
FLAG_DUPLICATE,2,2023-11
FLAG_FIXED_TOTAL_AMOUNT,911655,2023-12
FLAG_INVALID_EXTRA,533587,2023-12
FLAG_FIXED_MISSINGS_RatecodeID,180003,2023-12
FLAG_FIXED_MISSINGS_PASSENGER,180003,2023-12
FLAG_DISTANCE_ZERO_OR_NEG,73333,2023-12
FLAG_FIXED_PAYMENT_TYPE,63793,2023-12
FLAG_FARE_AMOUNT_INVALID,46564,2023-12
FLAG_INVALID_IMPROVEMENT_SURCHANGE,41888,2023-12
FLAG_INVALID_MTA_TAX,38502,2023-12
FLAG_DURATION_TOO_SHORT,36040,2023-12
FLAG_INVALID_CONGESTION_IMPROVEMENT,33347,2023-12
FLAG_SPEED_TOO_HIGH,5926,2023-12
FLAG_INVALID_AIRPORT_FEE,4889,2023-12
FLAG_NEGATIVE_TOLLS_AMOUNT,2493,2023-12
FLAG_NEGATIVE_TIP_AMOUNT,107,2023-12
FLAG_FIXED_TIME_SWAPPED,67,2023-12
FLAG_DISTANCE_EXTREME,38,2023-12
FLAG_DURATION_TOO_LONG,18,2023-12
